Datum,Temp,WindSpeed,RelativeHumidity,Precipitation,FFMC,DMC,DC,ISI,BUI,FWI,DSR,Fire
31.7.2010,19.0599994659424,27.8099994659424,75.0500030517578,8.73999977111816,58.5999984741211,3.79999995231628,10.0900001525879,1.50999999046326,3.91000008583069,0.589999973773956,0.00999999977648258,0
1.8.2010,23.2399997711182,27.4500007629395,57.5200004577637,0.0299999993294477,81.7699966430664,5.92999982833862,17.2800006866455,5.53000020980835,6.38000011444092,4.76999998092651,0.430000007152557,0
2.8.2010,25.6700000762939,27.7700004577637,52.1599998474121,0,87.25,8.57999992370605,24.8999996185303,11.7200002670288,9.22000026702881,11.1499996185303,1.94000005722046,0
3.8.2010,26.1599998474121,27.7199993133545,46.7000007629395,5.44000005722046,80.0400009155273,7.6100001335144,25.8799991607666,4.6100001335144,8.77000045776367,4.65000009536743,0.409999996423721,0
4.8.2010,21.6900005340576,27.5900001525879,59.4599990844727,1.75999999046326,80.129997253418,8.47000026702881,32.7900009155273,4.63000011444092,10.289999961853,5.09000015258789,0.490000009536743,0
5.8.2010,23.6399993896484,27.6200008392334,52.7200012207031,1.10000002384186,84.620002746582,10.8800001144409,40.0499992370605,8.05000019073486,12.960000038147,9.53999996185303,1.47000002861023,0
6.8.2010,21.3199996948242,27.6700000762939,50.4300003051758,10.8900003433228,70.3499984741211,7.36999988555908,30.3199996948242,2.54999995231628,9.17000007629395,2.34999990463257,0.119999997317791,0
7.8.2010,20.2099990844727,28.2700004577637,55.9000015258789,0.759999990463257,82.370002746582,9.3100004196167,36.9700012207031,6.19999980926514,11.4300003051758,7.11999988555908,0.879999995231628,0
8.8.2010,22.3400001525879,28.6900005340576,47.7200012207031,0.00999999977648258,87.4000015258789,11.8400001525879,43.9900016784668,12.539999961853,14.1599998474121,14.2299995422363,2.99000000953674,0
9.8.2010,23.2600002288818,28.6900005340576,45.7700004577637,0,88.5299987792969,14.5699996948242,51.1800003051758,14.7299995422363,17.0200004577637,17.4799995422363,4.30999994277954,0
10.8.2010,23.7900009155273,28.1399993896484,43.810001373291,0,89.0500030517578,17.4599990844727,58.4700012207031,15.460000038147,19.9899997711182,19.5,5.21999979019165,0
11.8.2010,24.0300006866455,28.0799999237061,45.9000015258789,0.0599999986588955,89.0999984741211,20.2600002288818,65.8000030517578,15.5200004577637,22.8999996185303,20.8099994659424,5.8600001335144,1
12.8.2010,25.7399997711182,28.6499996185303,48.6300010681152,0.129999995231628,89.1500015258789,23.1100006103516,73.4300003051758,16.0799999237061,25.8700008392334,22.6000003814697,6.78000020980835,1
13.8.2010,25.6700000762939,28.5200004577637,42.4500007629395,1.03999996185303,88.3199996948242,26.2900009155273,81.0599975585938,14.1700000762939,29.0300006866455,21.8099994659424,6.36999988555908,1
14.8.2010,27.0400009155273,27.7199993133545,46.8899993896484,0.879999995231628,88.1500015258789,29.3700008392334,88.9300003051758,13.289999961853,32.1800003051758,21.8899993896484,6.40999984741211,1
15.8.2010,24.6200008392334,27.6599998474121,48.1699981689453,3.65000009536743,80.7300033569336,23.9599990844727,92.0599975585938,4.96000003814697,29.0300006866455,9.69999980926514,1.51999998092651,0
16.8.2010,24.8199996948242,27.5699996948242,46.3899993896484,0.0900000035762787,87.9100036621094,26.8299999237061,99.5299987792969,12.75,32.0499992370605,21.2099990844727,6.05999994277954,1
17.8.2010,23.3199996948242,27.7700004577637,43.1100006103516,0.0299999993294477,89.0199966430664,29.7000007629395,106.730003356934,15.1000003814697,35.0299987792969,24.9500007629395,8.07999992370605,1
18.8.2010,24.0400009155273,28.0499992370605,45.6500015258789,0.430000007152557,89.0699996948242,32.5200004577637,114.059997558594,15.4300003051758,37.9700012207031,26.3199996948242,8.88000011444092,1
19.8.2010,24.7399997711182,27.6000003814697,48.9099998474121,0.00999999977648258,89.120002746582,35.2400016784668,121.519996643066,15.1899995803833,40.8600006103516,26.9599990844727,9.27000045776367,1
20.8.2010,24.1900005340576,27.3299999237061,47.6300010681152,0,89.1699981689453,37.9799995422363,128.880004882813,15.0900001525879,43.7299995422363,27.7399997711182,9.75,1
21.8.2010,24.7299995422363,27.5900001525879,49.8499984741211,0.529999971389771,88.5299987792969,40.6500015258789,136.330001831055,13.9399995803833,46.5800018310547,27.0799999237061,9.34000015258789,1
22.8.2010,25.1100006103516,27.75,41,0,89.7300033569336,43.8400001525879,143.860000610352,16.6900005340576,49.7700004577637,31.5900001525879,12.2700004577637,1
23.8.2010,26.3400001525879,27.4599990844727,41.5800018310547,0,89.9400024414063,47.1500015258789,151.600006103516,16.9500007629395,53.0499992370605,32.9099998474121,13.1899995803833,1
24.8.2010,27.6700000762939,27.5599994659424,38.439998626709,0.00999999977648258,90.6999969482422,50.810001373291,159.589996337891,19.0200004577637,56.5800018310547,36.6199989318848,15.9300003051758,1
25.8.2010,24.6800003051758,27.8299999237061,53.3600006103516,0,89.3099975585938,53.2900009155273,167.029998779297,15.789999961853,59.2900009155273,33.1199989318848,13.3400001525879,1
26.8.2010,27.0900001525879,27.2600002288818,44.2999992370605,0,89.5599975585938,56.5299987792969,174.910003662109,15.8999996185303,62.5400009155273,34.1399993896484,14.0799999237061,1
27.8.2010,28.8199996948242,26.8099994659424,39.3800010681152,0.0399999991059303,90.6999969482422,60.2799987792969,183.100006103516,18.2999992370605,66.129997253418,38.4500007629395,17.3700008392334,1
28.8.2010,24.3500003814697,26.7399997711182,52.0699996948242,1.99000000953674,83.5100021362305,56.6399993896484,190.490005493164,6.6399998664856,64.9800033569336,18.9599990844727,4.96999979019165,0
