temp;wind;rh;rainfall;Fire
0,707317073;0,477272727;0,80952381;0,044776119;0
0,804878049;0,454545455;0,53968254;0;0
0,87804878;0,477272727;0,444444444;0;0
0,87804878;0,477272727;0,365079365;0,024875622;0
0,780487805;0,477272727;0,555555556;0,009950249;0
0,829268293;0,477272727;0,46031746;0,004975124;0
0,756097561;0,477272727;0,412698413;0,054726368;0
0,731707317;0,477272727;0,507936508;0,004975124;0
0,780487805;0,5;0,380952381;0;0
0,804878049;0,5;0,349206349;0;0
0,829268293;0,477272727;0,317460317;0;0
0,829268293;0,477272727;0,349206349;0;1
0,87804878;0,5;0,396825397;0;1
0,87804878;0,5;0,285714286;0,004975124;1
0,902439024;0,477272727;0,365079365;0,004975124;1
0,853658537;0,477272727;0,380952381;0,019900498;0
0,853658537;0,477272727;0,349206349;0;1
0,804878049;0,477272727;0,301587302;0;1
0,829268293;0,477272727;0,349206349;0;1
0,853658537;0,477272727;0,396825397;0;1
0,829268293;0,454545455;0,380952381;0;1
0,853658537;0,477272727;0,412698413;0,004975124;1
0,853658537;0,477272727;0,26984127;0;1
0,87804878;0,454545455;0,285714286;0;1
0,926829268;0,477272727;0,222222222;0;1
0,853658537;0,477272727;0,46031746;0;1
0,902439024;0,454545455;0,317460317;0;1
0,951219512;0,454545455;0,238095238;0;1
0,829268293;0,454545455;0,444444444;0,009950249;0
0,707317073;0,454545455;0,301587302;0,004975124;1
0,731707317;0,477272727;0,412698413;0,114427861;0
0,585365854;0,477272727;0,412698413;0,004975124;0
0,634146341;0,5;0,349206349;0;0
0,682926829;0,5;0,301587302;0;1
0,707317073;0,5;0,285714286;0;1
0,731707317;0,5;0,380952381;0;1
0,658536585;0,5;0,444444444;0;1
0,634146341;0,477272727;0,73015873;0,024875622;0
0,756097561;0,477272727;0,444444444;0,004975124;0
0,756097561;0,454545455;0,555555556;0,019900498;0
0,756097561;0,454545455;0,476190476;0,039800995;0
0,658536585;0,454545455;0,619047619;0,134328358;0
0,658536585;0,454545455;0,714285714;0,014925373;0
0,707317073;0,454545455;0,476190476;0,014925373;0
0,707317073;0,477272727;0,492063492;0;0
0,682926829;0,477272727;0,492063492;0,009950249;0
0,756097561;0,477272727;0,428571429;0;0
0,756097561;0,477272727;0,396825397;0;0
0,731707317;0,477272727;0,571428571;0,024875622;0
0,731707317;0,477272727;0,682539683;0,019900498;0
0,707317073;0,477272727;0,571428571;0,253731343;0
0,634146341;0,454545455;0,492063492;0;0
0,707317073;0,454545455;0,380952381;0;0
0,682926829;0,477272727;0,507936508;0;0
0,707317073;0,5;0,492063492;0;0
0,707317073;0,477272727;0,46031746;0,009950249;0
0,609756098;0,477272727;0,698412698;0,208955224;0
0,585365854;0,454545455;0,793650794;0,074626866;0
0,609756098;0,454545455;0,666666667;0;0
0,658536585;0,477272727;0,428571429;0;0
0,585365854;0,477272727;0,666666667;0,009950249;0
0,585365854;0,477272727;0,507936508;0,004975124;0
0,585365854;0,477272727;0,555555556;0;0
0,609756098;0,477272727;0,492063492;0;0
0,634146341;0,477272727;0,587301587;0;0
0,634146341;0,5;0,587301587;0,004975124;0
0,634146341;0,5;0,682539683;0,109452736;0
0,609756098;0,477272727;0,714285714;0,014925373;0
0,585365854;0,477272727;0,444444444;0;0
0,536585366;0,5;0,523809524;0;0
0,512195122;0,477272727;0,428571429;0;0
0,56097561;0,477272727;0,476190476;0;0
0,56097561;0,454545455;0,53968254;0,014925373;0
0,609756098;0,454545455;0,650793651;0;0
0,585365854;0,454545455;0,698412698;0,019900498;0
0,487804878;0,454545455;0,936507937;0,034825871;0
0,512195122;0,454545455;0,825396825;0;0
0,487804878;0,454545455;0,761904762;0,024875622;0
0,536585366;0,477272727;0,73015873;0,014925373;0
0,56097561;0,477272727;0,746031746;0,009950249;0
0,487804878;0,477272727;0,984126984;0,049751244;0
0,463414634;0,454545455;0,73015873;0,004975124;0
0,487804878;0,454545455;0,349206349;0;0
0,56097561;0,454545455;0,317460317;0;0
0,585365854;0,454545455;0,412698413;0,004975124;0
0,512195122;0,454545455;0,634920635;0,034825871;0
0,634146341;0,454545455;0,412698413;0,233830846;0
0,43902439;0,454545455;0,825396825;0,064676617;0
0,463414634;0,477272727;0,682539683;0,049751244;0
0,512195122;0,5;0,53968254;0;0
0,512195122;0,5;0,492063492;0;0
0,536585366;0,5;0,492063492;0;0
0,585365854;0,5;0,587301587;0;0
0,536585366;0,477272727;0,603174603;0,009950249;0
0,585365854;0,454545455;0,571428571;0,059701493;0
0,512195122;0,454545455;0,666666667;0,004975124;0
0,585365854;0,454545455;0,53968254;0;0
0,585365854;0,454545455;0,53968254;0;0
0,609756098;0,454545455;0,380952381;0;0
0,56097561;0,477272727;0,507936508;0,019900498;0
0,487804878;0,477272727;0,476190476;0,213930348;0
0,43902439;0,477272727;0,873015873;0,184079602;0
0,463414634;0,477272727;0,714285714;0,169154229;0
0,487804878;0,477272727;0,555555556;0,004975124;0
0,512195122;0,454545455;0,46031746;0,004975124;0
0,56097561;0,454545455;0,571428571;0;0
0,536585366;0,454545455;0,587301587;0;0
0,585365854;0,454545455;0,476190476;0;0
0,536585366;0,454545455;0,476190476;0,029850746;0
0,390243902;0,454545455;0,333333333;0,104477612;0
0,463414634;0,431818182;0,666666667;0,024875622;0
0,414634146;0,431818182;0,650793651;0,064676617;0
0,487804878;0,431818182;0,46031746;0;0
0,414634146;0,431818182;0,80952381;0,024875622;0
0,390243902;0,454545455;0,523809524;0,383084577;0
0,317073171;0,454545455;0,73015873;0,134328358;0
0,341463415;0,454545455;0,650793651;0,019900498;0
0,317073171;0,454545455;0,698412698;0,024875622;0
0,317073171;0,454545455;0,476190476;0,064676617;0
0,317073171;0,454545455;0,666666667;0,004975124;0
0,365853659;0,454545455;0,634920635;0,154228856;0
0,390243902;0,477272727;0,761904762;0,07960199;0
0,317073171;0,477272727;0,777777778;0,114427861;0
0,463414634;0,454545455;0,253968254;0,104477612;0
0,365853659;0,454545455;0,650793651;0,069651741;0
