temp;wind;rh;precip;fire
-0,9782;27,2352;86,9041;6,3674;0
-4,2968;27,4748;56,9841;3,1838;0
-3,7117;27,5599;81,4933;1,8224;0
0,0211;27,5195;65,9771;0,9301;0
-0,1545;27,5502;64,722;0,4861;0
0,6315;27,3904;64,5918;0,044;0
1,1127;27,2585;62,5584;0,0121;0
2,5635;27,1574;63,5166;0,0325;0
1,0918;26,8675;74,2716;0,0762;0
-3,362;26,4119;76,6544;0,0036;0
-2,0313;26,3166;68,9852;1,5566;0
-0,3459;26,9077;69,7148;2,2418;0
0,5596;27,4048;63,0856;0,79;0
6,68;27,7685;72,1699;1,1801;0
7,1293;27,6816;61,5303;4,7482;0
6,8604;27,8386;67,1597;0,3147;0
4,1176;28,1921;60,3881;1,4755;0
3,0324;28,4377;65,8408;6,0734;0
0,8185;28,6538;80,9053;0,471;0
3,9658;28,2589;67,851;0,8519;0
7,2363;28,4324;68,4951;0,6217;0
3,3083;28,0845;73,0928;0,8305;0
4,9702;27,763;71,3585;0,1785;0
7,8246;27,4989;61,1159;0,0411;0
4,9468;27,1286;68,645;0,0177;0
3,7407;26,5144;65,4136;0,3846;0
-3,3747;26,5548;77,8358;1,9802;0
-2,4304;27,2917;71,9192;9,9779;0
-4,7761;27,4692;60,6995;7,0665;0
-1,7787;27,5587;66,882;1,9501;0
-3,4341;27,5561;66,9133;0,2803;0
-1,5705;27,4344;55,8228;3,4864;0
-0,2494;27,0584;64,7789;0,5605;0
1,1748;27,1586;47,5021;0,1594;0
1,5663;27,1552;66,5914;0,008;0
0,161;27,1697;68,7143;0,0492;0
1,4237;27,6352;72,1614;0,0177;0
1,6459;27,8081;70,2833;0,0005;0
2,0268;28,0436;57,0104;0,002;0
2,8975;28,0075;55,8265;0,0061;0
1,4126;27,9125;67,2601;0,0374;0
4,4278;27,636;61,8594;0,0179;0
10,0423;27,723;41,3713;0,0907;0
10,0189;27,674;48,6782;0,0606;0
10,8202;27,0846;38,9103;0,2919;0
10,5115;27,1446;40,0446;0,178;0
6,8753;26,966;46,9592;0,1817;0
6,9896;27,4235;38,977;0,0225;0
7,4637;27,8614;41,4132;0,2362;0
5,02;28,3431;59,1168;0,645;0
0,3863;28,6465;65,0701;0,2909;0
3,9266;28,3642;66,356;0,1874;0
3,8327;28,2111;74,4911;0,106;0
6,7685;27,9409;55,2758;6,1721;0
5,5567;27,6731;67,2966;4,0521;0
4,8876;27,6558;59,4863;5,974;0
6,42;27,8605;57,7504;0,2624;0
3,5821;27,7171;55,2752;0,2754;0
1,8553;27,2879;66,9367;6,1357;0
0,8801;27,5887;59,132;0,4964;0
-0,1321;28,3146;56,1147;1,9953;0
0,9815;28,166;58,395;0,4942;0
0,2815;28,1574;62,8286;4,4827;0
4,272;28,0453;64,0946;0,0225;0
3,8989;27,4544;71,261;0,0726;0
1,5756;26,5792;68,9585;1,0392;0
1,0009;26,5343;61,4836;2,4582;0
-0,2165;26,8746;76,2877;8,2338;0
3,1145;26,5446;66,5065;0,1128;0
4,2639;26,449;61,1315;2,8477;0
3,7841;26,4396;79,7764;1,1659;0
4,7965;26,6269;54,5321;0,0104;0
-2,0693;27,2626;68,9492;0;0
2,717;27,7338;38,3172;0,0208;0
6,0755;27,5606;37,5692;0,0021;0
6,8346;27,3075;48,9442;0,0672;0
8,7476;27,3116;40,4129;0,0884;0
10,9513;27,6573;38,9004;0,1842;0
13,892;28,0447;38,0964;3,7098;0
11,4094;28,5072;63,0617;0,8238;0
11,6912;28,6264;60,8035;1,5589;0
10,0752;28,995;46,7801;15,2125;0
9,1722;28,6591;65,3681;8,6166;0
7,0525;27,9517;48,7657;1,1122;0
5,5438;27,5665;66,182;0,487;0
4,7046;27,3181;60,2276;0,0326;0
3,961;27,0634;71,2707;0,053;0
6,8961;27,505;42,9304;0,2981;0
10,2991;28,0741;50,8459;0,0961;0
12,281;28,3349;38,9891;0,0176;0
16,0201;28,137;28,8382;0,095;1
12,4805;27,9935;48,2769;0,107;1
11,4551;27,9772;56,5873;0,284;1
13,2677;28,2393;63,3726;5,818;0
11,0116;27,915;59,4215;3,0517;0
11,4453;26,9759;54,1591;0,053;0
12,8759;26,5328;48,8285;0,0271;0
13,6739;26,615;34,7019;0,3425;1
14,0364;26,9846;44,7457;0,0147;1
14,4554;27,7342;44,4983;0,1143;1
16,5344;28,2221;43,6691;0,8828;1
11,9131;28,2173;58,7012;0,9556;0
12,7896;28,353;44,2648;0,0255;1
16,989;28,3455;52,7763;0,0353;1
15,9015;28,0482;50,0251;0,0541;1
16,2859;27,6545;39,441;0,0294;1
13,7264;27,2997;35,6375;0,0361;1
13,246;27,1667;36,2088;0,0722;1
16,2778;27,0403;42,3861;4,0787;0
8,2349;26,7774;63,7964;8,5965;0
8,5713;26,9005;55,9224;0,3844;0
8,4194;26,726;54,8135;0,3428;0
9,4473;26,8602;57,7129;0,2401;0
13,2888;27,1712;49,9951;0,056;1
13,0343;27,0998;40,1507;0,1028;1
14,124;26,7708;45,6012;0,0697;1
15,2986;26,5002;45,2809;0,0698;1
17,8365;26,8986;38,3994;0,0434;1
17,5438;27,7868;38,6352;0,0426;1
17,4042;28,1681;40,2482;0,1102;1
14,3285;28,1549;40,0245;0,5181;1
17,1365;27,6475;44,9323;0,2867;1
14,4071;27,4668;47,0435;1,2172;1
15,7465;27,5067;49,0198;0,8308;1
12,9841;27,5501;57,6145;0,1985;1
13,8671;27,917;55,7494;2,525;0
15,2183;27,6086;45,9309;3,2565;0
14,9512;27,7606;48,9694;6,4065;0
15,9981;28,0608;52,2209;1,4816;0
15,1089;28,0082;49,0362;3,0513;0
11,5287;27,2341;64,6527;0,1302;0
12,0666;27,4163;46,3946;0,003;1
14,2903;28,0962;35,2579;0,0031;1
17,7505;28,0716;35,3093;0,0034;1
15,3751;28,184;45,1868;1,3413;1
14,0062;28,1408;54,9005;1,3306;1
16,2085;28,1619;48,7765;0,3087;1
17,1021;27,5353;43,4402;0,8331;1
19,0981;26,5966;38,2267;0,017;1
17,6602;26,1848;54,8946;0,5771;1
20,6313;26,1135;43,5995;0,101;1
19,5165;26,0827;47,4929;8,3448;0
11,6439;26,5548;55,226;8,1486;0
14,4552;26,8043;53,0193;1,0523;0
16,4268;26,6937;61,4542;0,915;0
19,6412;26,9057;44,9187;1,8009;0
20,7217;27,3272;44,6786;2,5779;0
20,9793;27,6421;45,735;9,9809;0
20,4399;28,2352;52,3793;5,553;0
20,5696;28,7903;47,5557;5,0719;0
20,85;28,7078;51,8315;7,0864;0
21,5453;28,3478;46,4617;4,6587;0
20,7781;27,936;50,4216;0,0388;1
23,1102;27,5356;45,6721;1,9796;0
19,5907;27,3568;52,412;7,4907;0
18,3733;26,8443;56,6914;1,3785;0
21,9392;26,9523;48,5948;0,6479;1
21,3295;27,2926;48,3503;5,7406;0
21,2311;27,8515;48,3354;8,6093;0
18,5925;28,0507;65,2595;6,542;0
20,4035;27,709;62,2345;1,5178;0
22,0772;27,4592;48,15;7,7129;0
22,5589;27,299;51,1467;3,9806;0
22,5478;27,469;48,8498;1,8705;0
23,0531;27,6539;53,0527;1,4295;0
21,759;27,6702;51,423;21,4413;0
18,4791;28,1;52,7228;7,4687;0
18,54;28,4282;54,3473;0,0508;0
18,5221;28,1007;38,4312;0,1487;1
19,4891;27,8799;48,6473;0,0347;1
20,5339;27,7343;41,3147;0,6221;1
20,226;28,3628;42,8318;3,4679;0
21,4821;28,8242;44,2333;1,2169;1
22,4684;28,4366;44,9625;0,8376;1
23,9113;28,1534;43,0947;0,1215;1
24,1195;28,434;53,0092;0,4033;1
20,913;28,7861;54,5407;1,6305;1
19,7937;28,4528;40,991;0,0044;1
24,1581;27,8193;38,972;0,0052;1
26,6535;27,9517;37,4039;0,0085;1
26,4458;28,2942;41,7908;0,0185;1
23,6256;28,478;46,987;3,1435;1
19,5753;28,4872;41,7125;0,0241;1
20,2494;28,6601;47,5882;0,0083;1
19,5425;28,7473;41,0478;0,0014;1
21,0235;28,5588;39,2152;0,2221;1
21,1518;28,0941;51,8879;0,9315;1
23,461;28,2639;45,0791;10,523;0
19,9164;28,5047;51,8473;2,6895;0
16,8635;28,3307;53,5152;5,3953;0
19,5161;28,6732;38,0258;0,1434;1
22,4166;29,0397;50,2412;0,1033;1
21,6909;28,6021;54,3318;7,0724;0
21,7787;28,3758;49,0727;0,1814;1
26,221;28,7352;39,6955;0,0193;1
27,3625;27,7657;38,6595;0,1169;1
28,5922;27,552;36,1249;0,0016;1
29,076;27,6215;35,4641;0,0758;1
28,6033;27,3192;38,7282;2,9279;1
27,4198;27,2467;42,6034;0,7746;1
27,6656;27,364;38,223;0,001;1
30,6874;27,892;37,4226;0,0112;1
27,3423;28,2096;45,8272;0,0048;1
24,6121;28,1792;47,4921;0,5322;1
25,7703;28,0336;37,3462;0,1868;1
26,5962;28,0995;40,4241;0,1142;1
26,8707;27,8547;38,7218;0,4558;1
19,5673;28,0158;50,0122;13,7382;0
20,7202;28,0261;45,5666;0,3435;1
20,7876;27,7144;48,9469;1,1387;1
19,8715;27,5402;66,3835;21,4284;0
19,6778;27,712;46,499;16,568;0
16,6021;27,9675;54,7931;3,1389;0
19,1431;28,0664;55,2525;5,1584;0
20,7066;27,9016;46,8405;1,4633;0
21,7772;27,796;53,1637;9,6156;0
18,5626;28,2545;52,1145;16,4153;0
